Date,Description,Amount,Category
07/01/2025,AMAZON DIGITNQGY WA DEBIT CARD PURCHASE,1.99,Online Shopping
07/01/2025,ONLINE PMT BK OF AMER VIMC CKFPOS INTERNET PAYMENT,62.95,Credit Card
07/01/2025,SAMS CLUB FL DEBIT CARD PURCHASE,251.55,Groceries/Home
07/01/2025,SAMS CLUB N CATTLE SARASOTA DEBIT CARD PURCHASEPIN,5.09,Groceries/Home
07/01/2025,SARASOTA PARK METE SARASOTA FL DEBIT CARD PURCHASE,1.75,Transportation
07/01/2025,TACO BELL,18.06,Eating Out
07/01/2025,WALMART,6.21,Groceries/Home
07/02/2025,MAIN STREET CR SARASOTA FL DEBIT CARD PURCHASE,17.80,Entertainment
07/02/2025,PAYMENT CITI AUTOPAY RECURRING INTERNET PAYMENT,20.00,Credit Card
07/03/2025,LUSH UTC SARAS SARASOTA FL DEBIT CARD PURCHASE,42.27,Cosmetic
07/03/2025,CLARK ROAD BRANCH TRUIST ATM CASH WITHDRAWAL,100.00,Withdrawals
07/03/2025,MISSION THRIFT FREDERICKSBUR OH DEBIT CARD PURCHASE,10.57,Clothes
07/03/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-433.58,Transfers
07/03/2025,MOBILE TO TRUIST ONLINE TRANSFER,433.58,Transfers
07/03/2025,PR PAYMENT FINANCIAL SERVIC ADKINS RACHEL ACH CREDIT,-1662.36,Paychecks
07/03/2025,WALMART,76.62,Groceries/Home
07/07/2025,AMAZON MKTPLACE PM AMZNCOMBILL WA DEBIT CARD RETURN,-42.78,Refunds
07/07/2025,AMAZON MKTPLACE PM AMZNCOMBILL WA DEBIT CARD RETURN,-19.25,Refunds
07/07/2025,AMZNFREETIMENLS WA DEBIT CARD PURCHASE,5.99,Online Shopping
07/07/2025,BPPHILL SARASOTA DEBIT CARD PURCHASEPIN,40.09,Transportation
07/07/2025,CHECK,2500.00,Rent/Utilities
07/07/2025,MISSION THRIFT FREDERICKSBUR OH DEBIT CARD PURCHASE,4.28,Clothes
07/07/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-113.72,Transfers
07/07/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-1823.12,Transfers
07/07/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-555.61,Transfers
07/07/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-8.00,Transfers
07/07/2025,MOBILE TO TRUIST DEPOSIT TRANSFER,1823.12,Transfers
07/07/2025,MOBILE TO TRUIST ONLINE TRANSFER,555.61,Transfers
07/07/2025,NAYAX VENDING HUNT VALLEY MD DEBIT CARD PURCHASE,6.00,Miscellaneous
07/07/2025,PAYMENT CITI CARD ONLINE INTERNET PAYMENT,3555.16,Credit Card
07/07/2025,PUBLIX,5.09,Groceries/Home
07/07/2025,PUBLIX,36.86,Groceries/Home
07/07/2025,SAMS CLUB N CATTLE SARASOTA DEBIT CARD PURCHASEPIN,5.22,Groceries/Home
07/07/2025,SAMS CLUB N CATTLE SARASOTA DEBIT CARD PURCHASEPIN,123.56,Groceries/Home
07/07/2025,SAMS CLUB RENEWAL CLARKSVILLE TN DEBIT CARD RECURRING PYMT,50.00,Groceries/Home
07/07/2025,SC MISS SARASOTA LEAGUESBLUES FL DEBIT CARD PURCHASE,78.00,Kids
07/07/2025,WITHDRAWAL LIMIT FEE,5.00,Fees
07/07/2025,WM SUPERC CATTLEM SARASOTA DEBIT CARD PURCHASEPIN,130.41,Groceries/Home
07/07/2025,WALMART,-49.50,Groceries/Home
07/07/2025,WALMART,5.38,Groceries/Home
07/08/2025,INTEREST PAYMENT,-0.01,Miscellaneous
07/08/2025,MOBILE DEPOSIT,-724.40,Paychecks
07/08/2025,VENMO,-25.00,Venmo
07/09/2025,INTEREST PAYMENT,-31.17,Miscellaneous
07/09/2025,STRAIGHTTALKSERVI FL DEBIT CARD RECURRING PYMT,47.84,Phone
07/10/2025,BURTS GAS SARASOTA FL DEBIT CARD PURCHASE,64.33,Transportation
07/11/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,50.84,Transfers
07/11/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,-50.84,Transfers
07/11/2025,CRCARDPMT CAPITAL ONE ODKJJLHDI RECURRING INTERNET PAYMENT,43.00,Credit Card
07/11/2025,CRCARDPMT CAPITAL ONE ODKRZWQMSK RECURRING INTERNET PAYMENT,25.00,Credit Card
07/11/2025,WALMART,23.30,Groceries/Home
07/14/2025,ACH TRAN TARGET DEBIT CRD ADKINSRACHEL R ACH DEBIT,14.24,Groceries/Home
07/14/2025,ALDI SARASOTA DEBIT CARD PURCHASEPIN,16.66,Groceries/Home
07/14/2025,BAYVIEW DENTALCLA FL DEBIT CARD PURCHASE,30.00,Miscellaneous
07/14/2025,CLEPRIMEHEALTH UR FL DEBIT CARD PURCHASE,30.00,Medical
07/14/2025,GOOGLE YOUTUBE TV CA DEBIT CARD RECURRING PYMT,90.87,Subscriptions
07/14/2025,KORPATH FL DEBIT CARD PURCHASE,28.42,Medical
07/14/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-350.00,Transfers
07/14/2025,MOBILE TO TRUIST ONLINE TRANSFER,350.00,Transfers
07/14/2025,ODONOGHUE DERMATOL SARASOTA FL DEBIT CARD PURCHASE,30.00,Medical
07/14/2025,PELOTON MEMBERSHI ONEPELOTONCO NY DEBIT CARD RECURRING PYMT,47.53,Subscriptions
07/14/2025,SPOTIFY,19.17,Subscriptions
07/14/2025,TAMPA BAY RADIOLOG TN DEBIT CARD PURCHASE,30.72,Medical
07/14/2025,VIOC GQ SARASOTA DEBIT CARD PURCHASEPIN,71.68,Miscellaneous
07/14/2025,WALMART,9.89,Groceries/Home
07/15/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,72.77,Transfers
07/15/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,-72.77,Transfers
07/15/2025,BILL PAY FRONTIER COMMUNI INTERNET PAYMENT,69.99,Rent/Utilities
07/15/2025,MICROSOFTULTIMATE WA DEBIT CARD RECURRING PYMT,21.94,Miscellaneous
07/16/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,13.90,Transfers
07/16/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,-13.90,Transfers
07/16/2025,EBAY US,6.90,Online Shopping
07/17/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,239.95,Transfers
07/17/2025,ACCOUNT NUMBER AUTO OVERDRAFT TRANSFER,-239.95,Transfers
